experiment,x0,function,x1,n0,n1,n_prime,Q,n,D,abs_D
"n0=0.0,n1=0.0",1.0,Linear,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",2.0,Linear,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",5.0,Linear,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-1.0,Linear,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-2.0,Linear,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-5.0,Linear,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",0.5,Linear,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",0.25,Linear,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-0.75,Linear,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",3.1416,Linear,3.1416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",1.4142,Linear,1.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-2.7183,Linear,-2.7183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",100.0,Linear,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-100.0,Linear,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",0.0001,Linear,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-0.0001,Linear,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",10.0,Linear,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-10.0,Linear,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",7.0,Linear,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-7.0,Linear,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",1.0,Polynomial,0.7,0.0,0.0,0.0,-0.13147500000000004,-0.13147500000000004,0.03944250000000002,0.03944250000000002
