dataset,Function,Offset,x0,y0,y1,D
same,Quadratic,0.0,-10.0,100.0,100.0,0.0
same,Quadratic,0.0,-7.0,49.0,49.0,0.0
same,Quadratic,0.0,-5.0,25.0,25.0,0.0
same,Quadratic,0.0,-2.0,4.0,4.0,0.0
same,Quadratic,0.0,-1.0,1.0,1.0,0.0
same,Quadratic,0.0,-0.75,0.5625,0.5625,0.0
same,Quadratic,0.0,-0.25,0.0625,0.0625,0.0
same,Quadratic,0.0,-0.0001,1e-08,1e-08,0.0
same,Quadratic,0.0,0.0,0.0,0.0,0.0
same,Quadratic,0.0,0.25,0.0625,0.0625,0.0
same,Quadratic,0.0,0.5,0.25,0.25,0.0
same,Quadratic,0.0,1.0,1.0,1.0,0.0
same,Quadratic,0.0,2.0,4.0,4.0,0.0
same,Quadratic,0.0,3.1416,9.86965056,9.86965056,0.0
same,Quadratic,0.0,7.0,49.0,49.0,0.0
same,Quadratic,0.0,10.0,100.0,100.0,0.0
same,Quadratic,0.0,50.0,2500.0,2500.0,0.0
same,Quadratic,0.0,100.0,10000.0,10000.0,0.0
same,Quadratic,0.0,-50.0,2500.0,2500.0,0.0
same,Quadratic,0.0,-100.0,10000.0,10000.0,0.0
same,Quadratic,0.1,-10.0,100.0,98.01,-1.9899999999999949
same,Quadratic,0.1,-7.0,49.0,47.61000000000001,-1.3899999999999935
same,Quadratic,0.1,-5.0,25.0,24.010000000000005,-0.9899999999999949
same,Quadratic,0.1,-2.0,4.0,3.61,-0.3900000000000001
same,Quadratic,0.1,-1.0,1.0,0.81,-0.18999999999999995
same,Quadratic,0.1,-0.75,0.5625,0.42250000000000004,-0.13999999999999996
same,Quadratic,0.1,-0.25,0.0625,0.0225,-0.04
same,Quadratic,0.1,-0.0001,1e-08,0.009980010000000001,0.009980000000000001
same,Quadratic,0.1,0.0,0.0,0.010000000000000002,0.010000000000000002
same,Quadratic,0.1,0.25,0.0625,0.12249999999999998,0.059999999999999984
same,Quadratic,0.1,0.5,0.25,0.36,0.10999999999999999
same,Quadratic,0.1,1.0,1.0,1.2100000000000002,0.2100000000000002
same,Quadratic,0.1,2.0,4.0,4.41,0.41000000000000014
same,Quadratic,0.1,3.1416,9.86965056,10.50797056,0.6383200000000002
same,Quadratic,0.1,7.0,49.0,50.41,1.4099999999999966
same,Quadratic,0.1,10.0,100.0,102.00999999999999,2.009999999999991
same,Quadratic,0.1,50.0,2500.0,2510.01,10.010000000000218
same,Quadratic,0.1,100.0,10000.0,10020.009999999998,20.0099999999984
same,Quadratic,0.1,-50.0,2500.0,2490.0099999999998,-9.990000000000236
same,Quadratic,0.1,-100.0,10000.0,9980.010000000002,-19.989999999997963
