group1,group2,meandiff,p-adj,lower,upper,reject
Gaussian_NonZero,Gaussian_Zero,0.093,0.0,0.0729,0.1131,True
Gaussian_NonZero,Linear_NonZero,0.53,0.0,0.5099,0.5501,True
Gaussian_NonZero,Linear_Zero,0.1803,0.0,0.1603,0.2004,True
Gaussian_NonZero,Polynomial_NonZero,0.2674,0.0,0.2473,0.2874,True
Gaussian_NonZero,Polynomial_Zero,0.2023,0.0,0.1823,0.2224,True
Gaussian_NonZero,ReLU_NonZero,0.3065,0.0,0.2864,0.3265,True
Gaussian_NonZero,ReLU_Zero,0.0932,0.0,0.0731,0.1132,True
Gaussian_NonZero,Sine_NonZero,0.0624,0.0,0.0423,0.0824,True
Gaussian_NonZero,Sine_Zero,0.296,0.0,0.276,0.3161,True
Gaussian_NonZero,tanh_NonZero,0.3186,0.0,0.2986,0.3387,True
Gaussian_NonZero,tanh_Zero,0.3641,0.0,0.344,0.3842,True
Gaussian_Zero,Linear_NonZero,0.437,0.0,0.4169,0.4571,True
Gaussian_Zero,Linear_Zero,0.0873,0.0,0.0673,0.1074,True
Gaussian_Zero,Polynomial_NonZero,0.1744,0.0,0.1543,0.1944,True
Gaussian_Zero,Polynomial_Zero,0.1094,0.0,0.0893,0.1294,True
Gaussian_Zero,ReLU_NonZero,0.2135,0.0,0.1934,0.2335,True
Gaussian_Zero,ReLU_Zero,0.0002,1.0,-0.0199,0.0202,False
Gaussian_Zero,Sine_NonZero,-0.0306,0.0002,-0.0507,-0.0106,True
Gaussian_Zero,Sine_Zero,0.203,0.0,0.183,0.2231,True
Gaussian_Zero,tanh_NonZero,0.2256,0.0,0.2056,0.2457,True
Gaussian_Zero,tanh_Zero,0.2711,0.0,0.2511,0.2912,True
Linear_NonZero,Linear_Zero,-0.3497,0.0,-0.3697,-0.3296,True
Linear_NonZero,Polynomial_NonZero,-0.2626,0.0,-0.2827,-0.2425,True
Linear_NonZero,Polynomial_Zero,-0.3276,0.0,-0.3477,-0.3076,True
Linear_NonZero,ReLU_NonZero,-0.2235,0.0,-0.2436,-0.2035,True
Linear_NonZero,ReLU_Zero,-0.4368,0.0,-0.4569,-0.4168,True
Linear_NonZero,Sine_NonZero,-0.4676,0.0,-0.4877,-0.4476,True
Linear_NonZero,Sine_Zero,-0.234,0.0,-0.254,-0.2139,True
Linear_NonZero,tanh_NonZero,-0.2114,0.0,-0.2314,-0.1913,True
Linear_NonZero,tanh_Zero,-0.1659,0.0,-0.1859,-0.1458,True
Linear_Zero,Polynomial_NonZero,0.0871,0.0,0.067,0.1071,True
Linear_Zero,Polynomial_Zero,0.022,0.0202,0.002,0.0421,True
Linear_Zero,ReLU_NonZero,0.1262,0.0,0.1061,0.1462,True
Linear_Zero,ReLU_Zero,-0.0871,0.0,-0.1072,-0.0671,True
Linear_Zero,Sine_NonZero,-0.118,0.0,-0.138,-0.0979,True
Linear_Zero,Sine_Zero,0.1157,0.0,0.0956,0.1358,True
Linear_Zero,tanh_NonZero,0.1383,0.0,0.1183,0.1584,True
Linear_Zero,tanh_Zero,0.1838,0.0,0.1637,0.2039,True
Polynomial_NonZero,Polynomial_Zero,-0.065,0.0,-0.0851,-0.045,True
Polynomial_NonZero,ReLU_NonZero,0.0391,0.0,0.019,0.0591,True
Polynomial_NonZero,ReLU_Zero,-0.1742,0.0,-0.1943,-0.1542,True
Polynomial_NonZero,Sine_NonZero,-0.205,0.0,-0.2251,-0.185,True
Polynomial_NonZero,Sine_Zero,0.0286,0.0006,0.0086,0.0487,True
Polynomial_NonZero,tanh_NonZero,0.0512,0.0,0.0312,0.0713,True
Polynomial_NonZero,tanh_Zero,0.0967,0.0,0.0767,0.1168,True
Polynomial_Zero,ReLU_NonZero,0.1041,0.0,0.0841,0.1242,True
Polynomial_Zero,ReLU_Zero,-0.1092,0.0,-0.1292,-0.0891,True
Polynomial_Zero,Sine_NonZero,-0.14,0.0,-0.1601,-0.1199,True
Polynomial_Zero,Sine_Zero,0.0937,0.0,0.0736,0.1137,True
Polynomial_Zero,tanh_NonZero,0.1163,0.0,0.0962,0.1363,True
Polynomial_Zero,tanh_Zero,0.1618,0.0,0.1417,0.1818,True
ReLU_NonZero,ReLU_Zero,-0.2133,0.0,-0.2334,-0.1932,True
ReLU_NonZero,Sine_NonZero,-0.2441,0.0,-0.2642,-0.224,True
ReLU_NonZero,Sine_Zero,-0.0105,0.8153,-0.0305,0.0096,False
ReLU_NonZero,tanh_NonZero,0.0122,0.6372,-0.0079,0.0322,False
ReLU_NonZero,tanh_Zero,0.0576,0.0,0.0376,0.0777,True
ReLU_Zero,Sine_NonZero,-0.0308,0.0002,-0.0509,-0.0108,True
ReLU_Zero,Sine_Zero,0.2028,0.0,0.1828,0.2229,True
ReLU_Zero,tanh_NonZero,0.2255,0.0,0.2054,0.2455,True
ReLU_Zero,tanh_Zero,0.2709,0.0,0.2509,0.291,True
Sine_NonZero,Sine_Zero,0.2337,0.0,0.2136,0.2537,True
Sine_NonZero,tanh_NonZero,0.2563,0.0,0.2362,0.2763,True
Sine_NonZero,tanh_Zero,0.3017,0.0,0.2817,0.3218,True
Sine_Zero,tanh_NonZero,0.0226,0.0152,0.0026,0.0427,True
Sine_Zero,tanh_Zero,0.0681,0.0,0.048,0.0882,True
tanh_NonZero,tanh_Zero,0.0455,0.0,0.0254,0.0655,True
